,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,37.725,37.725,37.725,37.725,37.725,37.725,37.725,37.725,37.725,37.725,37.725,37.725,37.725,37.725,37.725
1,37.775,37.775,37.775,37.775,37.775,37.775,37.775,37.775,37.775,37.775,37.775,37.775,37.775,37.775,37.775
2,37.825,37.825,37.825,37.825,37.825,37.825,37.825,37.825,37.825,37.825,37.825,37.825,37.825,37.825,37.825
3,37.875,37.875,37.875,37.875,37.875,37.875,37.875,37.875,37.875,37.875,37.875,37.875,37.875,37.875,37.875
4,37.925,37.925,37.925,37.925,37.925,37.925,37.925,37.925,37.925,37.925,37.925,37.925,37.925,37.925,37.925
5,37.975,37.975,37.975,37.975,37.975,37.975,37.975,37.975,37.975,37.975,37.975,37.975,37.975,37.975,
6,38.025,38.025,38.025,38.025,38.025,38.025,38.025,38.025,38.025,38.025,38.025,38.025,38.025,38.025,
7,38.075,38.075,38.075,38.075,38.075,38.075,38.075,38.075,38.075,38.075,38.075,38.075,38.075,38.075,38.075
8,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125
9,38.175,38.175,38.175,38.175,38.175,38.175,38.175,38.175,38.175,38.175,38.175,38.175,38.175,38.175,38.175
10,38.225,38.225,38.225,38.225,38.225,38.225,38.225,38.225,38.225,38.225,38.225,38.225,38.225,38.225,38.225
